surface,kana,source_id,reason,notes
"危","あぶない","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あぶら","あぶら","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"甘","あまい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"余","あまる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"網","あみ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"雨","あめ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"謝","あやまる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あら","あら","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"洗","あらう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"争","あらそう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"改","あらためる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あらゆる","あらゆる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あらわす","あらわす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"現","あらわれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"有難","ありがたい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"有難","ありがとう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"有","ある","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あるいは","あるいは","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"歩","あるく","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"あれ","あれ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"合","あわせる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"慌","あわてる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"案外","あんがい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"安心","あんしん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"安全","あんぜん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"あんな","あんな","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"案内","あんない","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"家","いえ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"以下","いか","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"以外","いがい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いかが","いかが","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"息","いき","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"勢","いきおい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"生","いきる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"幾","いくつ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"幾","いくら","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"池","いけ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いけない","いけない","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"意見","いけん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"以後","いご","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"勇","いさましい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"石","いし","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"医者","いしゃ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"以上","いじょう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"椅子","いす","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"以前","いぜん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"忙","いそがしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"急","いそぐ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"板","いた","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"痛","いたい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"致","いたす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"いたずら","いたずら","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"いただきます","いただきます","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"いただく","いただく","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"痛","いたむ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"一","いち","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一応","いちおう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"一度","いちどに","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"一番","いちばん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一部","いちぶ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"何時","いつ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"五日","いつか","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一緒","いっしょ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一生","いっしょう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一層","いっそう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"五","いつつ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いっぱい","いっぱい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"一般","いっぱんに","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"一方","いっぽう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いつも","いつも","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"糸","いと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"従弟妹","いとこ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"以内","いない","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"田舎","いなか","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"犬","いぬ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"稲","いね","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"命","いのち","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"祈","いのる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"違反","いはん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"今","いまに","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"意味","いみ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"妹","いもうと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"否","いや","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"いらっしゃる","いらっしゃる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"入口","いりぐち","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"要","いる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"入","いれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"色","いろ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いろいろ","いろいろ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"いろんな","いろんな","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"岩","いわ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"祝","いわう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"印刷","いんさつ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"印象","いんしょう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"植","うえる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"伺","うかがう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"浮","うかぶ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"浮","うく","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"受付","うけつけ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"受取","うけとる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"受","うける","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"動","うごかす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"動","うごく","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"牛","うし","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"後","うしろ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"薄","うすい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"うそ","うそ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"歌","うた","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"歌","うたう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"疑","うたがう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"うち","うち","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"うつ","うつ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"うっかり","うっかり","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"美","うつくしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"うつす","うつす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"移","うつる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"腕","うで","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"馬","うま","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"うまい","うまい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"生","うまれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"海","うみ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"産","うむ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"裏","うら","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"うらやましい","うらやましい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"売","うる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"うるさい","うるさい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"嬉","うれしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"売","うれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"上着","うわぎ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"噂","うわさ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"うん","うん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"運転","うんてん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"運動","うんどう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"映画","えいが","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"影響","えいきょう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"英語","えいご","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"栄養","えいよう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"ええ","ええ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"駅","えき","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"枝","えだ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"偉","えらい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"選","えらぶ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"円","えん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"鉛筆","えんぴつ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"遠慮","えんりょ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"おいしい","おいしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"追","おう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"往復","おうふく","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"応用","おうよう","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"おお","おお","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"多","おおい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"大","おおきいな","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"大勢","おおぜい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"なさい","おかえり","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おかげ","おかげ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"おかしい","おかしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"起","おきる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"奥","おく","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"贈物","おくりもの","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"おくる","おくる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"遅","おくれ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"起","おこす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"行","おこなう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"怒","おこる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"押","おさえる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おじ","おじ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"惜","おしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"教","おしえる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"御辞儀","おじぎ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"おじさん","おじさん","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"押","おす","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"遅","おそい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"恐","おそれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"恐","おそろしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"落","おちる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おっしゃる","おっしゃる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"夫","おっと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"音","おと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"弟","おとうと","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"男","おとこ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"落","おとす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"一昨日","おととい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"大人","おとな","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おとなしい","おとなしい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"踊","おどる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"驚","おどろく","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おなか","おなか","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"同","おなじ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おば","おば","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おばさん","おばさん","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おはよう","おはよう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"覚","おぼえる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おまわりさん","おまわりさん","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おめでとう","おめでとう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"重","おもい","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"思出","おもいだす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"思出","おもいで","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"思","おもう","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"面白","おもしろい","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おもちゃ","おもちゃ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"表","おもて","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"主","おもなに","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"親","おや","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"親子","おやこ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"なさい","おやすみ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"泳","およぐ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"およそ","およそ","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"及","および","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"降","おりる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おる","おる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"俺","おれ","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"折","おれる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"おろす","おろす","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"終","おわり","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
"終","おわる","ninjal-educational-vocab-1984","review_all_source","source is configured for manual review"
"音","おん","ninjal-educational-vocab-1984","duplicate_kana_cross_source","same kana already accepted from ninjal-basic-vocab-2009"
